Features Added,MSE,R²,MSE Δ,R² Δ
0-0,0.0002230134920942261,0.8920345935320708,-0.0007055701880975021,0.34158100227144195
0-1,0.00017835198706186157,0.9136561443136324,-0.0007502316931298666,0.36320255305300353
0-2,0.00021328849559734868,0.896742663836808,-0.0007152951845943795,0.34628907257617914
0-3,0.00026034508032146263,0.8739616058433081,-0.0006682385998702656,0.3235080145826792
0-4,0.00024042658294589999,0.8836045590350117,-0.0006881570972458283,0.3331509677743828
0-5,0.0001833427715321424,0.9112400031695799,-0.0007452409086595858,0.360786411908951
0-6,0.0001858407874080105,0.9100306624392555,-0.0007427428927837177,0.3595770711786266
0-7,0.0002482326115287336,0.8798255004635697,-0.0006803510686629946,0.3293719092029408
0-8,0.00016523066413776352,0.9200084459147331,-0.0007633530160539647,0.3695548546541042
0-9,0.00022736317527522002,0.8899288226738471,-0.0007012205049165081,0.3394752314132182
0-10,0.0002580378332304216,0.8750785914914272,-0.0006705458469613067,0.3246250002307983
0-11,0.002065698728033007,-4.7130413693974305e-05,0.0011371150478412789,-0.5505007216743228
